Async pipeline performance summary;;;;;;;;;;;;;;
Anfrage;;Total Time [s];"Phase 1:
Cache Optimization";;"Phase 2:
Query Pre-processing";;"Phase 3:
Retrieval";;"Phase 4:
Reranking";;"Phase 5:
Response Preparation";;"Phase 6:
LLM Generation";
1);Was sind Voraussetzungen für ein Sabbatical?;7,248;0,244;3,37%;0,758;10,46%;1,547;21,34%;0,327;4,51%;0,000;0,00%;4,371;60,30%
2);Wie melde ich die Geburt meines Kindes?;5,410;0,229;4,23%;0,586;10,82%;1,661;30,70%;0,316;5,84%;0,000;0,01%;2,617;48,38%
3);Kann ich meine Daten retten lassen?;3,337;0,263;7,89%;0,547;16,40%;1,794;53,76%;0,368;11,03%;0,000;0,01%;0,363;10,87%
4);Wo kann ich einen Medienwagen ausborgen?;3,919;0,240;6,13%;0,570;14,54%;1,170;29,87%;0,268;6,84%;0,000;0,01%;1,669;42,58%
5);Kann ich meine Daten retten lassen?;3,656;0,005;0,13%;0,421;11,51%;2,560;70,03%;0,347;9,49%;0,000;0,01%;0,322;8,79%
6);Wie suche ich Literatur;5,307;0,220;4,15%;0,671;12,64%;1,493;28,13%;0,376;7,08%;0,000;0,01%;2,545;47,96%
7);Kann ich meine Daten retten lassen?;4,140;0,005;0,13%;0,601;14,52%;1,605;38,77%;0,291;7,02%;0,000;0,01%;1,637;39,53%
8);Wieviel Speicherplatz erhalte ich an der Uni?;3,886;0,229;5,88%;0,673;17,33%;1,621;41,73%;0,345;8,89%;0,000;0,01%;1,016;26,14%
9);AAAAAAAAAAAAAAAAAAAAAAAAAA;5,309;0,354;6,66%;0,481;9,06%;0,961;18,11%;3,217;60,58%;0,000;0,01%;0,295;5,56%
10);Wie komme ich zum Papamonat?;3,956;0,248;6,27%;0,439;11,09%;1,492;37,72%;0,291;7,36%;0,000;0,01%;1,484;37,52%
11);Was sind die Voraussetzungen fürs Papamonat?;5,305;0,234;4,41%;0,320;6,04%;2,131;40,18%;0,277;5,23%;0,000;0,01%;2,341;44,12%
12);Welche Vordienstzeiten kann man anrechnen lassen?;13,386;0,231;1,73%;0,427;3,19%;1,820;13,60%;8,815;65,85%;0,000;0,00%;2,091;15,62%
13);Welche Möglichkeiten der Karenz gibt es?;5,417;0,229;4,23%;0,306;5,66%;1,414;26,11%;0,990;18,28%;0,000;0,01%;2,475;45,69%
14);Was muss ich tun, wenn ich in Pension gehe?;14,852;0,263;1,77%;0,337;2,27%;1,453;9,78%;11,352;76,43%;0,000;0,00%;1,445;9,73%
15);Ich möchte mein Beschäftigungsausmaß reduzieren;2,780;0,290;10,43%;0,486;17,49%;0,948;34,09%;0,339;12,20%;0,000;0,01%;0,715;25,74%
16);Wie funktioniert HomeOffice?;4,897;0,099;2,03%;0,329;6,72%;1,241;25,34%;0,704;14,37%;0,000;0,01%;2,522;51,50%
17);Unter welchen Voraussetzungen kann ich Elternteilz...;5,138;0,238;4,64%;0,438;8,52%;1,333;25,94%;0,379;7,38%;0,000;0,01%;2,748;53,48%
18);Wem muss ich meine Schwangerschaft melden?;8,826;0,221;2,50%;0,413;4,68%;3,557;40,30%;3,707;42,00%;0,000;0,00%;0,927;10,50%
19);Für welche Ereignisse bekomme ich Sonderurlaub?;4,232;0,229;5,41%;0,464;10,95%;1,371;32,39%;0,286;6,76%;0,000;0,01%;1,881;44,45%
20);Wieviel Sonderurlaub steht mir bei Wohnungswechsel...;3,455;0,244;7,06%;0,524;15,17%;1,407;40,73%;0,363;10,52%;0,000;0,01%;0,915;26,48%
21);Welche Sabbatical-Modelle gibt es?;3,975;0,228;5,74%;0,456;11,48%;1,336;33,60%;0,273;6,87%;0,000;0,01%;1,681;42,27%
22);Was ist ein PSP-Code?;5,474;0,304;5,55%;0,426;7,79%;3,867;70,64%;0,341;6,22%;0,000;0,01%;0,535;9,77%
23);Wie hoch ist die Pendlerpauschale;2,564;0,273;10,63%;0,472;18,42%;1,174;45,79%;0,309;12,04%;0,000;0,01%;0,335;13,06%
24);Was sind Voraussetzungen für die Pendlerpauschale?;6,703;0,288;4,29%;0,464;6,93%;1,312;19,57%;3,251;48,50%;0,000;0,00%;1,387;20,69%
25);Was ist bei einem Mitarbeitergespräch zu berücksic...;7,337;0,295;4,02%;0,554;7,55%;1,293;17,63%;2,418;32,96%;0,000;0,00%;2,774;37,81%
26);Ich möchte eine Dienstreise machen - was ist dabei...;4,635;0,254;5,48%;0,453;9,77%;1,218;26,27%;0,300;6,47%;0,000;0,01%;2,410;51,99%
27);Mein Vater ist gestorben. Wie viele Tage Sonderurl...;21,045;0,255;1,21%;0,451;2,14%;6,992;33,22%;12,112;57,55%;0,000;0,00%;1,235;5,87%
28);wie melde ich mich zu flExam an;3,838;0,244;6,35%;0,489;12,73%;1,446;37,68%;0,265;6,90%;0,000;0,01%;1,393;36,30%
29);welche Tools bietet die Uni Graz um die Sicherheit...;4,589;0,226;4,92%;0,457;9,96%;1,798;39,19%;0,327;7,12%;0,000;0,01%;1,779;38,77%
30);was ist ein Assessment;2,530;0,242;9,57%;0,434;17,15%;1,152;45,55%;0,355;14,05%;0,000;0,02%;0,345;13,62%
31);Ich benötige einen Parkplatz an der Uni;3,636;0,339;9,31%;0,442;12,16%;1,250;34,39%;0,340;9,36%;0,000;0,01%;1,263;34,73%
32);Wie kann ich an der Uni mein E-Auto aufladen?;3,906;0,262;6,72%;0,504;12,91%;1,265;32,39%;0,265;6,80%;0,000;0,01%;1,607;41,15%
33);Was sind nightly updates?;3,524;0,256;7,26%;0,402;11,40%;0,831;23,57%;0,315;8,94%;0,000;0,01%;1,719;48,78%
34);Wie komme ich zu einem uniBOOK?;10,226;0,232;2,27%;0,343;3,36%;7,981;78,05%;0,348;3,41%;0,000;0,00%;1,320;12,90%
35);Was ist ein Vortragenden-Account?;4,379;0,240;5,47%;0,509;11,62%;2,434;55,59%;0,354;8,07%;0,000;0,01%;0,841;19,21%
36);Wie komme ich zu einem externen Account?;3,533;0,259;7,34%;0,443;12,55%;1,254;35,49%;0,369;10,44%;0,000;0,01%;1,206;34,14%
37);Ich benötige eine Firewallfreischaltung;7,974;0,231;2,89%;0,425;5,33%;6,621;83,03%;0,295;3,70%;0,000;0,00%;0,401;5,03%
38);Gibt es eine Datenrettung an der Uni?;8,423;0,247;2,93%;0,646;7,67%;1,186;14,08%;5,931;70,41%;0,000;0,00%;0,411;4,89%
39);Wie buche ich einen Gruppenraum?;3,801;0,227;5,96%;0,476;12,53%;1,939;51,02%;0,286;7,51%;0,000;0,01%;0,872;22,93%
40);Ich möchte eine Führung in der Universitätsbibliot...;2,937;0,142;4,83%;0,306;10,41%;1,466;49,91%;0,335;11,40%;0,000;0,01%;0,688;23,41%
41);Was ist unikat?;11,886;0,249;2,10%;0,468;3,94%;1,496;12,58%;8,938;75,19%;0,000;0,00%;0,734;6,18%
42);Welches Tool wird für die Literatursuche verwendet...;8,698;0,227;2,60%;0,450;5,18%;7,145;82,15%;0,270;3,11%;0,000;0,00%;0,604;6,94%
43);Wann muss ich uniSTART machen?;3,250;0,312;9,59%;0,452;13,91%;1,053;32,39%;0,306;9,41%;0,000;0,01%;1,126;34,64%
44);Welche Richtlinien gibt es an der Uni Graz?;13,859;0,265;1,91%;0,447;3,22%;2,362;17,04%;8,077;58,28%;0,000;0,00%;2,707;19,53%
45);In welchen Lehrberufen bildet die uni Graz aus?;3,322;0,307;9,24%;0,428;12,87%;1,302;39,20%;0,365;11,00%;0,000;0,01%;0,918;27,64%
46);Wofür brauche ich die UNIGRAzcard?;3,320;0,259;7,80%;0,598;18,02%;1,456;43,85%;0,355;10,70%;0,001;0,02%;0,650;19,57%
47);Was ist der Zweck und der Umfang des mobilen Arbei...;4,344;0,264;6,07%;0,449;10,33%;1,755;40,41%;0,351;8,08%;0,000;0,01%;1,523;35,07%
48);An welchem Tag im Monat erhalte ich mein Gehalt?;2,843;0,263;9,25%;0,458;16,11%;1,176;41,36%;0,306;10,77%;0,000;0,01%;0,638;22,45%
49);Wer ist der Rektor?;2,399;0,265;11,05%;0,397;16,55%;0,884;36,87%;0,545;22,71%;0,000;0,01%;0,306;12,76%
50);Wo hat er studiert?;3,984;0,124;3,12%;0,313;7,86%;2,020;50,70%;1,250;31,38%;0,000;0,01%;0,275;6,90%
51);Wann ist er geboren?;2,464;0,244;9,90%;0,393;15,94%;1,149;46,62%;0,381;15,45%;0,000;0,01%;0,296;12,02%
52);Wer ist Rektor und wann ist er geboren?;2,697;0,281;10,42%;0,452;16,75%;1,287;47,72%;0,346;12,82%;0,000;0,01%;0,330;12,23%
53);Wer ist der Rektor der Universität Graz und in wel...;3,256;0,145;4,44%;0,371;11,39%;2,097;64,41%;0,290;8,90%;0,000;0,01%;0,352;10,81%
54);Wie kann ich meine Daten schützen, wenn ich Gesprä...;3,484;0,269;7,73%;0,492;14,12%;1,298;37,26%;0,270;7,76%;0,000;0,01%;1,153;33,08%
55);Welche Unterstützung bietet die Universität Graz b...;8,517;0,282;3,31%;0,475;5,58%;5,496;64,53%;0,359;4,21%;0,000;0,00%;1,904;22,35%
56);Ich bin wissenschaftliche Mitarbeiterin an der Uni...;5,464;0,836;15,29%;0,504;9,23%;1,114;20,39%;0,336;6,15%;0,000;0,01%;2,672;48,90%
57);Welche persönliche Daten soll ich geben in der Ver...;6,221;0,263;4,23%;0,476;7,66%;2,178;35,00%;2,731;43,90%;0,000;0,01%;0,571;9,18%
58);Welche persönlichen Daten muss ich angeben, um ein...;3,127;0,260;8,31%;0,411;13,16%;1,396;44,64%;0,347;11,09%;0,000;0,02%;0,711;22,74%
59);Welche persönliche Daten soll ich geben in der mel...;4,257;0,164;3,85%;0,417;9,79%;2,711;63,70%;0,383;9,00%;0,000;0,01%;0,579;13,60%
60);Welche Abwesenheiten sind im Falle einer Corona-Kr...;3,748;0,146;3,90%;0,348;9,30%;1,972;52,61%;0,284;7,58%;0,000;0,01%;0,996;26,57%
61);Welche Abwesenheiten sollten in Dokumentation von ...;3,843;0,126;3,27%;0,494;12,86%;1,800;46,84%;0,280;7,29%;0,000;0,01%;1,141;29,70%
62);Wie melde ich mich krank?;3,423;0,254;7,42%;0,352;10,29%;0,967;28,24%;0,275;8,03%;0,000;0,01%;1,574;45,97%
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
